Warszawa  , 484 , 302
Kraków  , 410 , 547
£ódŸ  , 377 , 350
Wroc³aw  , 209 , 425
Poznañ  , 201 , 277
Gdañsk  , 319 , 55
Szczecin  , 39 , 162
Bydgoszcz  , 276 , 197
Lublin  , 591 , 412
Bia³ystok  , 632 , 196
Katowice  , 345 , 524
Gdynia  , 312 , 37
Czêstochowa  , 353 , 461
Radom  , 494 , 393
Sosnowiec  , 354 , 520
Toruñ  , 318 , 207
Kielce  , 456 , 452
Rzeszów  , 553 , 547
Gliwice  , 322 , 521
Zabrze  , 329 , 518
Olsztyn  , 448 , 122
Bielsko-Bia³a  , 349 , 572
Bytom  , 338 , 509
Zielona Góra  , 103 , 333
Rybnik  , 314 , 543
Ruda Œl¹ska  , 336 , 522
Opole  , 271 , 476
Tychy  , 343 , 537
Gorzów Wielkopolski  , 85 , 242
D¹browa Górnicza  , 364 , 516
Elbl¹g  , 373 , 78
P³ock  , 393 , 262
Wa³brzych  , 157 , 463
W³oc³awek  , 348 , 251
Tarnów  , 483 , 549
Chorzów  , 341 , 518
Koszalin  , 150 , 77
Kalisz  , 287 , 351
Legnica  , 150 , 413
Grudzi¹dz  , 329 , 156
Jaworzno  , 363 , 527
S³upsk  , 209 , 44
Jastrzêbie-Zdrój  , 316 , 558
Nowy S¹cz  , 462 , 596
Jelenia Góra  , 119 , 450
Siedlce  , 571 , 304
Mys³owice  , 354 , 526
Konin  , 294 , 300
Piotrków Trybunalski  , 391 , 393
Pi³a  , 190 , 191
Inowroc³aw  , 293 , 234
Lubin  , 152 , 393
Ostrów Wielkopolski  , 264 , 367
Suwa³ki  , 581 , 86
Ostrowiec Œwiêtokrzyski  , 509 , 456
Gniezno  , 248 , 264
Stargard  , 71 , 173
G³ogów  , 143 , 364
Siemianowice Œl¹skie  , 347 , 518
Pabianice  , 370 , 362
Zamoœæ  , 639 , 470
Leszno  , 177 , 342
£om¿a  , 556 , 190
Che³m  , 653 , 424
Tomaszów Mazowiecki  , 416 , 378
¯ory  , 324 , 547
E³k  , 575 , 156
Stalowa Wola  , 557 , 492
Pruszków  , 469 , 305
Przemyœl  , 605 , 576
Kêdzierzyn-KoŸle  , 289 , 512
Tarnowskie Góry  , 336 , 501
Mielec  , 512 , 520
Tczew  , 325 , 78
